iter	Logloss
329	0.3438407659
330	0.343830798
331	0.3436729596
332	0.3436709582
333	0.3436487462
334	0.3433647001
335	0.3430584812
336	0.3430569507
337	0.3430419596
338	0.3430292838
339	0.3427021873
340	0.3425687193
341	0.3424478486
342	0.3424201425
343	0.3424167676
344	0.3424138635
345	0.342412333
346	0.3423422437
347	0.3423320011
348	0.3423251334
349	0.3423236422
350	0.3423222294
351	0.3421134527
352	0.3421008162
353	0.341962953
354	0.3419561638
355	0.3418068021
356	0.3417550004
357	0.3416116038
358	0.3416107404
359	0.3413148034
360	0.3412044892
361	0.3411369115
362	0.3411347531
363	0.3408704858
364	0.3408691907
365	0.3408686806
366	0.3408552592
367	0.3408543174
368	0.3408261011
369	0.3406829399
370	0.3406827437
371	0.340643186
372	0.3404278556
373	0.3400239983
374	0.340013481
375	0.3396824993
376	0.3396688425
377	0.3396087996
378	0.3396046005
379	0.3395949858
380	0.3393986494
381	0.3393884067
382	0.3393873079
383	0.3393587777
384	0.3393500656
385	0.3393491238
386	0.3393476717
387	0.3392661625
388	0.3392652599
389	0.3392360233
390	0.3391380709
391	0.3391323021
392	0.3391194694
393	0.3391165261
394	0.339104596
395	0.3391022414
396	0.3390994551
