iter	Logloss
0	0.6536065859
1	0.6215393498
2	0.5938125496
3	0.5727347768
4	0.5529788117
5	0.5359652382
6	0.5222840468
7	0.509879258
8	0.4986542537
9	0.4901285907
10	0.4822216838
11	0.476180228
12	0.470971956
13	0.4663890329
14	0.4612941361
15	0.456451184
16	0.4532588628
17	0.4502762602
18	0.4465409627
19	0.4430064754
20	0.4408065499
21	0.438025974
22	0.435768164
23	0.4331643419
24	0.4305662495
25	0.4287018972
26	0.4273138854
27	0.425677343
28	0.4241024133
29	0.4225451432
30	0.4205497954
31	0.4192526721
32	0.4182636514
33	0.4170366566
34	0.4158901116
35	0.4146095884
36	0.4139846318
37	0.4129424751
38	0.4121294626
39	0.4108740946
40	0.4099422521
41	0.4096049521
42	0.4088139161
43	0.408250062
44	0.407665605
45	0.4070413941
46	0.4062629553
47	0.4056755943
48	0.4053278163
49	0.4050761854
50	0.4048431954
51	0.4038511921
52	0.4028007157
53	0.4024916321
54	0.4016703783
55	0.4010263101
56	0.4005257562
57	0.3999818772
58	0.3995441526
59	0.3993679874
60	0.39905443
61	0.3985362556
62	0.3982420846
63	0.3972349725
64	0.3970529601
65	0.3967296701
66	0.3966415679
67	0.3961999974
68	0.395746379
69	0.3956373207
70	0.3954843093
71	0.3947719177
72	0.3944195482
73	0.3940415918
74	0.3936981698
75	0.3934036063
76	0.3931081402
77	0.3930226673
78	0.3926279146
79	0.3923854668
80	0.3922054557
81	0.3918768679
82	0.391411084
83	0.3913833386
84	0.3913711731
85	0.3913399351
86	0.3909684538
87	0.3907314217
88	0.3900061189
89	0.3895453189
90	0.3892806591
91	0.3884641147
92	0.3882903434
93	0.3876813198
94	0.3874775663
95	0.3868021423
96	0.3867638404
97	0.3863501329
98	0.3860293546
99	0.3858226971
100	0.3857278842
101	0.385641548
102	0.3850597596
103	0.3843353594
104	0.3842638181
105	0.3838671031
106	0.3838185979
107	0.3831823784
108	0.3829562559
109	0.3827470476
110	0.3825166083
111	0.3823439359
112	0.382065894
113	0.3816856222
114	0.3816362928
115	0.3809242936
116	0.38085028
117	0.380547436
118	0.3802421197
119	0.3801888267
120	0.3796816407
121	0.3787704403
122	0.3784547637
123	0.3782372749
124	0.3781875923
125	0.3781573354
126	0.3777649765
127	0.3775018472
128	0.3772627351
129	0.3772579474
130	0.3769391312
131	0.376423547
132	0.3758952085
133	0.3758696609
134	0.3757477306
135	0.3757203777
136	0.3756453044
137	0.3747244108
138	0.3746821453
139	0.3743673713
140	0.3743028546
141	0.3736593358
142	0.3732699594
143	0.3726755345
144	0.3724509818
145	0.3723017379
146	0.3717589577
147	0.3714407695
148	0.3712012257
149	0.3707616959
150	0.3703485378
151	0.3703463401
152	0.370342612
153	0.3698115265
154	0.3694527994
155	0.3692366842
156	0.3690774723
157	0.3683673176
158	0.3679094609
159	0.3675744371
160	0.3672523245
161	0.3669033692
162	0.3665654806
163	0.3665607321
164	0.3662679738
165	0.3662057725
166	0.3662030647
167	0.3658933923
168	0.3657719722
169	0.365727823
170	0.365676453
171	0.3656744123
172	0.3653662312
173	0.3651833161
174	0.3651631056
175	0.3650476505
176	0.3650349356
177	0.3645914028
178	0.3644489481
179	0.3640131071
180	0.3640107525
181	0.3639647981
182	0.3638483226
183	0.3638450262
184	0.3638419259
185	0.3638402384
186	0.3638184582
187	0.3636118399
188	0.3635962601
189	0.3635948081
190	0.3635924142
191	0.363551326
192	0.3635501487
193	0.3632283893
194	0.3632271727
195	0.3632260347
196	0.3630512431
197	0.3630508899
198	0.3628694268
199	0.3628659341
200	0.3627532261
201	0.362752559
202	0.3627119417
203	0.3625445279
204	0.3623441494
205	0.362144438
206	0.3615763064
207	0.3615708515
208	0.3612246825
209	0.3611195093
210	0.3605756303
211	0.3605647598
212	0.3604094723
213	0.3597500205
214	0.3597271414
215	0.3595005873
216	0.3594166057
217	0.3594160956
218	0.3588390556
219	0.3586006107
220	0.3582013449
221	0.3579566209
222	0.3576941588
223	0.3576569165
224	0.3575522534
225	0.3573261703
226	0.3572980717
227	0.3572862594
228	0.3570223845
229	0.3565778706
230	0.3565637821
231	0.3562442596
232	0.3562271101
233	0.3562237744
234	0.3558983261
235	0.3558086541
236	0.3557727853
237	0.3553816038
238	0.3553679469
239	0.3552331055
240	0.3547852167
241	0.3543587942
242	0.3543496504
243	0.3543353264
244	0.354007288
245	0.3539976733
246	0.3538940698
247	0.3538934027
248	0.3538593784
249	0.3538238236
250	0.3537592676
251	0.353756756
252	0.3537505555
253	0.3536457747
254	0.3530174432
255	0.3526798686
256	0.3523040313
257	0.352298184
258	0.3522893149
259	0.351912261
260	0.3517131776
261	0.3517105482
262	0.3514795203
263	0.3514774797
264	0.351340676
265	0.3512902085
266	0.3511295839
267	0.3511195375
268	0.3511180463
269	0.3511160056
270	0.3509913282
271	0.3507973072
272	0.3504764504
273	0.3502802317
274	0.3500706701
275	0.3496147364
276	0.3493574937
277	0.3490228623
278	0.3484924047
279	0.3481061286
280	0.3481038132
281	0.3480703383
282	0.3480678267
283	0.3480658252
284	0.3480357645
285	0.3480285829
286	0.3480265423
287	0.3480093143
288	0.3479666563
289	0.3479657537
290	0.3479630851
291	0.3479617509
292	0.3478254181
293	0.3478241231
294	0.3473606938
295	0.3469224982
296	0.346760814
297	0.3462247837
298	0.3460542305
299	0.3460508162
300	0.3460194997
301	0.3460150652
302	0.3459394425
303	0.3459361853
304	0.3459073019
305	0.3459060069
306	0.3459017685
307	0.3458980011
308	0.3453494521
309	0.345280187
310	0.3452472222
311	0.3452340756
312	0.3452323096
313	0.3451919278
314	0.3451883566
315	0.3451851779
316	0.344788149
317	0.3444492008
318	0.3444459043
319	0.3444191008
320	0.344413175
321	0.3443671421
322	0.3443376308
323	0.3443264464
324	0.3443247196
325	0.3441286579
326	0.3441270882
327	0.3441213978
328	0.3440250937
